#    band25          band26          band27          band28         band29         band30         band31         band32
-0.571659       -0.571659       -0.021973       -0.021973       0.996746       0.996746       2.374777       2.374777
-0.582673       -0.582673       -0.018453       -0.018453       1.001537       1.001537       2.375074       2.375074
-0.613422       -0.613422       -0.010188       -0.010188       1.015931       1.015931       2.375907       2.375907
-0.658566       -0.658566       -0.002357       -0.002357       1.039801       1.039801       2.377079       2.377079
-0.712369       -0.712369        0.000000        0.000000       1.072446       1.072446       2.378167       2.378167
-0.770113       -0.770113       -0.006313       -0.006313       1.112240       1.112240       2.378433       2.378433
-0.828310       -0.828310       -0.022443       -0.022443       1.156600       1.156600       2.376797       2.376797
-0.884479       -0.884479       -0.048009       -0.048009       1.202304       1.202304       2.371938       2.371938
-0.936892       -0.936892       -0.081768       -0.081768       1.245975       1.245975       2.362584       2.362584
-0.984374       -0.984374       -0.122137       -0.122137       1.284536       1.284536       2.347907       2.347907
-1.026168       -1.026168       -0.167507       -0.167507       1.315554       1.315554       2.327823       2.327823
-1.061841       -1.061841       -0.216401       -0.216401       1.337423       1.337423       2.302984       2.302984
-1.091218       -1.091218       -0.267530       -0.267530       1.349414       1.349414       2.274467       2.274467
-1.114327       -1.114327       -0.319795       -0.319795       1.351615       1.351615       2.243386       2.243386
-1.131361       -1.131361       -0.372271       -0.372271       1.344770       1.344770       2.210613       2.210613
-1.142644       -1.142644       -0.424183       -0.424183       1.330088       1.330088       2.176697       2.176697
-1.148605       -1.148605       -0.474884       -0.474884       1.309031       1.309031       2.141928       2.141928
-1.149753       -1.149753       -0.523828       -0.523828       1.283138       1.283138       2.106464       2.106464
-1.146665       -1.146665       -0.570560       -0.570560       1.253896       1.253896       2.070453       2.070453
-1.139969       -1.139969       -0.614696       -0.614696       1.222659       1.222659       2.034129       2.034129
-1.130334       -1.130334       -0.655911       -0.655911       1.190616       1.190616       1.997851       1.997851
-1.118460       -1.118460       -0.693934       -0.693934       1.158792       1.158792       1.962112       1.962112
-1.105069       -1.105069       -0.728535       -0.728535       1.128060       1.128060       1.927516       1.927516
-1.090892       -1.090892       -0.759523       -0.759523       1.099170       1.099170       1.894743       1.894743
-1.076661       -1.076661       -0.786737       -0.786737       1.072767       1.072767       1.864507       1.864507
-1.063085       -1.063085       -0.810042       -0.810042       1.049410       1.049410       1.837512       1.837512
-1.050843       -1.050843       -0.829321       -0.829321       1.029584       1.029584       1.814419       1.814419
-1.040555       -1.040555       -0.844470       -0.844470       1.013703       1.013703       1.795809       1.795809
-1.032761       -1.032761       -0.855389       -0.855389       1.002104       1.002104       1.782159       1.782159
-1.027894       -1.027894       -0.861988       -0.861988       0.995040       0.995040       1.773823       1.773823
-1.110158       -1.110158       -0.791767       -0.791767       0.975585       0.975585       1.823809       1.823809
-1.249636       -1.249636       -0.683708       -0.683708       0.933272       0.933272       1.969536       1.969536
-1.396194       -1.396194       -0.580521       -0.580521       0.879208       0.879208       2.184723       2.184723
-1.537985       -1.537985       -0.483854       -0.483854       0.819548       0.819548       2.449394       2.449394
-1.667408       -1.667408       -0.391543       -0.391543       0.755126       0.755126       2.747238       2.747238
-1.778793       -1.778793       -0.301733       -0.301733       0.685442       0.685442       3.062363       3.062363
-1.868113       -1.868113       -0.214343       -0.214343       0.611256       0.611256       3.375624       3.375624
-1.932823       -1.932823       -0.132750       -0.132750       0.536951       0.536951       3.659309       3.659309
-1.971676       -1.971676       -0.067380       -0.067380       0.474434       0.474434       3.872316       3.872316
-1.984509       -1.984509       -0.039916       -0.039916       0.447404       0.447404       3.966984       3.966984
-1.972041       -1.972041       -0.069560       -0.069560       0.477453       0.477453       3.890292       3.890292
-1.935682       -1.935682       -0.145489       -0.145489       0.556300       0.556300       3.752972       3.752972
-1.877406       -1.877406       -0.244239       -0.244239       0.662934       0.662934       3.591071       3.591071
-1.799699       -1.799699       -0.350102       -0.350102       0.783873       0.783873       3.419165       3.419165
-1.705648       -1.705648       -0.453665       -0.453665       0.911685       0.911685       3.245674       3.245674
-1.599224       -1.599224       -0.547915       -0.547915       1.041247       1.041247       3.075964       3.075964
-1.485961       -1.485961       -0.625891       -0.625891       1.167850       1.167850       2.914088       2.914088
-1.374196       -1.374196       -0.678759       -0.678759       1.286142       1.286142       2.763910       2.763910
-1.276206       -1.276206       -0.694430       -0.694430       1.389283       1.389283       2.630051       2.630051
-1.204426       -1.204426       -0.661293       -0.661293       1.468266       1.468266       2.518666       2.518666
-1.158867       -1.158867       -0.580889       -0.580889       1.512442       1.512442       2.437022       2.437022
-1.124682       -1.124682       -0.470543       -0.470543       1.513561       1.513561       2.389645       2.389645
-1.086241       -1.086241       -0.349609       -0.349609       1.472340       1.472340       2.372269       2.372269
-1.034220       -1.034220       -0.232811       -0.232811       1.399201       1.399201       2.372336       2.372336
-0.964859       -0.964859       -0.131488       -0.131488       1.308022       1.308022       2.377263       2.377263
-0.878779       -0.878779       -0.055155       -0.055155       1.212040       1.212040       2.380235       2.380235
-0.781058       -0.781058       -0.011075       -0.011075       1.123713       1.123713       2.379943       2.379943
-0.682701       -0.682701       -0.000621       -0.000621       1.054263       1.054263       2.377793       2.377793
-0.603522       -0.603522       -0.012600       -0.012600       1.011139       1.011139       2.375641       2.375641
-0.571659       -0.571659       -0.021973       -0.021973       0.996746       0.996746       2.374777       2.374777
