#    band25          band26          band27          band28         band29         band30         band31         band32
-0.681157       -0.681084       -0.001906       -0.001903       1.317687       1.317692       2.899308       2.899311
-0.691191       -0.691186       -0.001178       -0.001178       1.324396       1.324395       2.899194       2.899191
-0.719578       -0.719594        0.000010        0.000000       1.343700       1.343698       2.898898       2.898913
-0.763156       -0.763172       -0.002032       -0.002029       1.375577       1.375579       2.898266       2.898277
-0.815661       -0.815662       -0.010501       -0.010512       1.418379       1.418371       2.896783       2.896759
-0.873635       -0.873645       -0.028176       -0.028169       1.469813       1.469825       2.893566       2.893586
-0.932802       -0.932806       -0.054571       -0.054558       1.526673       1.526660       2.887841       2.887841
-0.990713       -0.990717       -0.090412       -0.090410       1.584787       1.584794       2.878089       2.878094
-1.045351       -1.045366       -0.133656       -0.133648       1.640467       1.640460       2.863646       2.863642
-1.095237       -1.095247       -0.182259       -0.182257       1.690401       1.690400       2.843784       2.843787
-1.139419       -1.139425       -0.235648       -0.235646       1.731960       1.731968       2.818650       2.818644
-1.177829       -1.177841       -0.291704       -0.291707       1.763292       1.763286       2.789414       2.789413
-1.209670       -1.209679       -0.348690       -0.348676       1.783260       1.783253       2.756992       2.756994
-1.234375       -1.234373       -0.407074       -0.407073       1.792009       1.792006       2.723048       2.723050
-1.253524       -1.253527       -0.464894       -0.464902       1.789923       1.789922       2.688421       2.688413
-1.266421       -1.266424       -0.521649       -0.521651       1.778626       1.778616       2.653773       2.653759
-1.273580       -1.273586       -0.576500       -0.576496       1.759067       1.759065       2.619644       2.619643
-1.275908       -1.275913       -0.629645       -0.629637       1.733467       1.733461       2.586077       2.586085
-1.273763       -1.273771       -0.679612       -0.679609       1.703201       1.703200       2.553082       2.553086
-1.267628       -1.267627       -0.727146       -0.727138       1.669917       1.669912       2.520704       2.520694
-1.259059       -1.259068       -0.770631       -0.770632       1.634697       1.634678       2.489200       2.489193
-1.247547       -1.247547       -0.810467       -0.810467       1.599258       1.599257       2.458759       2.458760
-1.234930       -1.234932       -0.846192       -0.846186       1.564099       1.564094       2.429846       2.429850
-1.222103       -1.222104       -0.877842       -0.877830       1.530730       1.530722       2.402755       2.402759
-1.209221       -1.209240       -0.905240       -0.905237       1.499744       1.499742       2.378274       2.378260
-1.197128       -1.197144       -0.927707       -0.927702       1.472008       1.472005       2.356576       2.356573
-1.186934       -1.186939       -0.945448       -0.945445       1.448251       1.448246       2.338222       2.338215
-1.178901       -1.178911       -0.958941       -0.958927       1.429004       1.428999       2.323442       2.323436
-1.173507       -1.173520       -0.967869       -0.967864       1.414907       1.414910       2.312732       2.312732
-1.170060       -1.170061       -0.972877       -0.972867       1.406193       1.406193       2.306048       2.306049
-1.247228       -1.247275       -0.907683       -0.907630       1.386396       1.386376       2.355343       2.355324
-1.384689       -1.384742       -0.798924       -0.798874       1.342596       1.342562       2.498593       2.498581
-1.532113       -1.532169       -0.690844       -0.690798       1.284003       1.283977       2.711829       2.711817
-1.675256       -1.675284       -0.588413       -0.588353       1.217201       1.217172       2.974499       2.974492
-1.806134       -1.806158       -0.488384       -0.488335       1.142870       1.142827       3.269564       3.269565
-1.918829       -1.918838       -0.389200       -0.389155       1.062057       1.062012       3.579943       3.579951
-2.009672       -2.009663       -0.291625       -0.291562       0.975008       0.974955       3.887038       3.887042
-2.075465       -2.075459       -0.199297       -0.199237       0.887970       0.887924       4.164135       4.164133
-2.115270       -2.115266       -0.124876       -0.124823       0.815039       0.815016       4.375398       4.375381
-2.129166       -2.129168       -0.093704       -0.093749       0.783503       0.783504       4.455247       4.455223
-2.115946       -2.115942       -0.127150       -0.127122       0.817769       0.817756       4.392947       4.392938
-2.078661       -2.078653       -0.211412       -0.211390       0.906881       0.906853       4.253589       4.253587
-2.018612       -2.018588       -0.320351       -0.320333       1.026366       1.026328       4.090935       4.090935
-1.939166       -1.939143       -0.435818       -0.435815       1.159875       1.159842       3.918402       3.918418
-1.842255       -1.842216       -0.547406       -0.547393       1.299130       1.299094       3.744340       3.744345
-1.733657       -1.733623       -0.647377       -0.647382       1.438600       1.438556       3.572548       3.572555
-1.617143       -1.617100       -0.729495       -0.729503       1.573934       1.573891       3.407457       3.407476
-1.502921       -1.502878       -0.784084       -0.784093       1.700066       1.700025       3.253022       3.253040
-1.402884       -1.402846       -0.798526       -0.798543       1.810491       1.810461       3.113721       3.113741
-1.329532       -1.329492       -0.761610       -0.761633       1.895643       1.895632       2.996539       2.996563
-1.282736       -1.282698       -0.675852       -0.675847       1.944236       1.944251       2.910350       2.910357
-1.245804       -1.245762       -0.558508       -0.558476       1.945865       1.945878       2.861856       2.861875
-1.204358       -1.204349       -0.429088       -0.429058       1.899434       1.899448       2.848524       2.848545
-1.148755       -1.148797       -0.301916       -0.301862       1.815331       1.815354       2.857137       2.857161
-1.075057       -1.075107       -0.188127       -0.188057       1.708306       1.708325       2.872857       2.872877
-0.985111       -0.985167       -0.096767       -0.096696       1.593038       1.593037       2.886182       2.886231
-0.884665       -0.884730       -0.034780       -0.034714       1.483650       1.483625       2.894136       2.894194
-0.786382       -0.786450       -0.005311       -0.005261       1.394487       1.394447       2.897800       2.897836
-0.710587       -0.710654       -0.000187       -0.000136       1.337209       1.337176       2.898958       2.899009
-0.681157       -0.681084       -0.001906       -0.001903       1.317687       1.317692       2.899308       2.899311
